,ITEM NAME ,CATEGORY,UOM,QTY,TOTAL COST,UNIT PRICE,RETAIL,WHOLESALE,EXPIRY DATE,SUPPLIER
8853301007122,PEDIGREE DENTA STICK MAXI -  SMOKE CHICKEN FLAVOR 68G,DOG TREAT,PIECES,6,612,102.00,115,,,PEDIGREE AND WHISKAS
8853301007030,PEDIGREE GOOD CHEW MEDIUM DOGS - BEEF FLAVOR,DOG TREAT,PIECES,6,540,135.00,155,,,PEDIGREE AND WHISKAS
8853301131971,PEDIGREE MOTHERS & BABY DOG IN MILK STAGE 1 - 1.3KG,DRY DOG FOOD,PIECES,4,1232,157.50,340,,,PEDIGREE AND WHISKAS
8853301008275,PEDIGREE PRO ADULT 1.3KG - MINI & SMALL BREED ,DRY DOG FOOD,PIECES,2,794,397.00,420,,,PEDIGREE AND WHISKAS
8853301008204,PEDIGREE PRO ADULT 1.5KG - MEDIUM & LARGE BREED,DRY DOG FOOD,PIECES,2,794,397.00,420,,,PEDIGREE AND WHISKAS
885330100215,PEDIGREE PUPPY ADULT - BEEF IN GRAVY ,WET DOG FOOD,PIECES,12,325,27.08,45,,,PEDIGREE AND WHISKAS
8853301007597,PEDIGREE PUPPY POUCH - BEEF EGG LOAF,WET DOG FOOD,PIECES,12,347,29.50,55,,,PEDIGREE AND WHISKAS
8853301002967,PEDIGREE PUPPY STAGE (BEEF AND MILK) 2 - 1.3KG,DRY DOG FOOD,PIECES,4,1232,308.00,338,,,PEDIGREE AND WHISKAS
17147774,PEDIGREE ROASTED LAMB FLAVOUR 70G,DOG TREAT,PIECES,6,642,107.00,160,,2 Feb 2027,PEDIGREE AND WHISKAS
24436861,PEDIGREE SCHMACKOS GROUND LIVER FLAVOUR 70G,DOG TREAT,PIECES,6,642,107.00,160,,21 Feb 2027,PEDIGREE AND WHISKAS
8851393003169,PEDIGREE TASTY BITE - BEEF FLAVOR 50G,DOG TREAT,PIECES,6,617,102.83,115,,,PEDIGREE AND WHISKAS
8851393003107,PEDIGREE TASTY BITE - LAMB FLAVOR 50G,DOG TREAT,PIECES,6,617,102.83,115,,9 Sep 2026,PEDIGREE AND WHISKAS
81686452,PET BELLS SLEEKY ,SUPPLY AND ACCESSORIES,PIECES,2,200,100,210,,,
38599354,PET COLLAR FOR DOG,SUPPLY AND ACCESSORIES,PIECES,1,90,90,190,,,
74385515,PET COOKIES DOG/CAT BISCUITS,DOG TREAT,PIECES,,,35.00,75,,,PET ACCESSORIES STORE
84827548,PET DECORATION CAT/DOG - BLUE BANNER,SUPPLY AND ACCESSORIES,PIECES,1,79,79.00,239,,,PET & HOME.PH
63584202,PET DECORATION CAT/DOG - BLUE HAT,SUPPLY AND ACCESSORIES,PIECES,1,59,59.00,120,,,PET & HOME.PH
65457085,PET DECORATION CAT/DOG - BLUE HAT + BIB,SUPPLY AND ACCESSORIES,PIECES,1,95,95.00,190,,,PET & HOME.PH
47857209,PET DECORATION CAT/DOG - BLUE SCRAF,SUPPLY AND ACCESSORIES,PIECES,1,49,49.00,100,,,PET & HOME.PH
12780952,PET DECORATION CAT/DOG - PINK BANNER,SUPPLY AND ACCESSORIES,PIECES,2,158,79,239,,,
75974558,PET DECORATION CAT/DOG - PINK HAT,SUPPLY AND ACCESSORIES,PIECES,1,59,59.00,120,,,PET & HOME.PH
53577177,PET DECORATION CAT/DOG - PINK HAT + BIB,SUPPLY AND ACCESSORIES,PIECES,1,95,95.00,190,,,PET & HOME.PH
10418413,PET DECORATION CAT/DOG - PINK SCRAF,SUPPLY AND ACCESSORIES,PIECES,1,49,49.00,100,,,PET & HOME.PH
37569198,PET DOG/CAT MAT SOFT BED LARGE-COFFEE FOOTPRINTS,SUPPLY AND ACCESSORIES,PIECES,,,159,259,,,PET ACCESSORIES STORE
30842212,PET DOG/CAT MAT SOFT BED MEDIUM-BLUE STARS,SUPPLY AND ACCESSORIES,PIECES,,,109,229,,,PET ACCESSORIES STORE
17080248,PET DOG/CAT MAT SOFT BED MEDIUM-PINK BEAR,SUPPLY AND ACCESSORIES,PIECES,,,113,229,,,PET ACCESSORIES STORE
28691631,PET DOG/CAT MAT SOFT BED MEDIUM-WHITE STARS,SUPPLY AND ACCESSORIES,PIECES,,,129,229,,,PET ACCESSORIES STORE
55835398,PET DOG HARNESS & DENIM LEASH – BLACK (L),SUPPLY AND ACCESSORIES,PIECES,2,290,145,500,,,
22501455,PET DOG HARNESS & DENIM LEASH – RED (L),SUPPLY AND ACCESSORIES,PIECES,2,290,145,500,,,
60371607,PET HARNESS - PURPLE GREEN LARGE,SUPPLY AND ACCESSORIES,PIECES,2,310,155,285,,,
11326960,PET HARNESS - YELLOW PINK LARGE,SUPPLY AND ACCESSORIES,PIECES,2,310,155,285,,,
47878839,PET LEASH HARNESS - BLACK XL,SUPPLY AND ACCESSORIES,PIECES,2,280,140,300,,,
61191983,PET LEASH HARNESS - BLUE LARGE,SUPPLY AND ACCESSORIES,PIECES,2,240,120,250,,,
14427671,PET LEASH HARNESS - ORANGE LARGE,SUPPLY AND ACCESSORIES,PIECES,2,232,116,250,,,
96395608,PET LEASH HARNESS - PURPLE MEDIUM,SUPPLY AND ACCESSORIES,PIECES,2,200,100,230,,,
13932985,PET NECKLACE CHERRY BLOSSOM (PINK),SUPPLY AND ACCESSORIES,PIECES,6,348,58,98,,,
94299847,PET NECKLACE CHERRY BLOSSOM (PURPLE),SUPPLY AND ACCESSORIES,PIECES,7,322,46,88,,,
41654682,PET STAINLESS BOWL/DOG FOOD BOWL - 15CM,SUPPLY AND ACCESSORIES,PIECES,2,70,35,135,,,
28085263,PET STAINLESS BOWL/DOG FOOD BOWL - 18CM,SUPPLY AND ACCESSORIES,PIECES,2,110,55,225,,,
87371802,PET STAINLESS BOWL/DOG FOOD BOWL - 22CM,SUPPLY AND ACCESSORIES,PIECES,2,150,75,260,,,
32618631,PET STAINLESS BOWL/DOG FOOD BOWL - 26CM,SUPPLY AND ACCESSORIES,PIECES,2,160,80,285,,,
58537893,PET STAINLESS BOWL/DOG FOOD BOWL - 30CM,SUPPLY AND ACCESSORIES,PIECES,2,192,96,300,,,
69114069,PET TOWEL SMALL ,SUPPLY AND ACCESSORIES,PIECES,2,100,50,110,,,
39559555,PET WATER DISPENSER DRINKER FEEDER 350ML/500ML - BLUE,SUPPLY AND ACCESSORIES,PIECES,2,226,113,250,,,
50311408,PET WATER DISPENSER DRINKER FEEDER 350ML/500ML- PINK,SUPPLY AND ACCESSORIES,PIECES,2,214,107,250,,,
28248651,PET WATER DISPENSER NOZZLE - BLUE,SUPPLY AND ACCESSORIES,PIECES,2,88,44,190,,,
55443050,PET WATER DISPENSER NOZZLE - PINK,SUPPLY AND ACCESSORIES,PIECES,2,90,45,190,,,
