,ITEM NAME ,CATEGORY,UOM,QTY,TOTAL COST,UNIT PRICE,RETAIL,WHOLESALE,EXPIRY DATE,SUPPLIER
30801981,SPAY DOG 10.1 - 15kg,SURGERY,SERVICING,,2500,"2,500.00",5000,,,PAWESOME
42303244,SPAY DOG 15.1 - 20kg,SURGERY,SERVICING,,3000,"3,000.00",6000,,,PAWESOME
85225015,SPAY DOG 20.1 -25kg,SURGERY,SERVICING,,3500,"3,500.00",7000,,,PAWESOME
47765054,SPAY DOG 25.1 -30kg,SURGERY,SERVICING,,4000,"4,000.00",8000,,,PAWESOME
33105499,SPAY DOG 5.1 -10kg,SURGERY,SERVICING,,2000,"2,000.00",4000,,,PAWESOME
22592613,SPAY DOG 30.1 - 35kg,SURGERY,SERVICING,,4500,"9,000","9,000",,,PAWESOME
62246538,SPAY DOG 35.1 - 40kg,SURGERY,SERVICING,,5000,"10,000","10,000",,,PAWESOME
42925507,SPAY DOG 40.1 - 45kg,SURGERY,SERVICING,,5500,"11,000","11,000",,,PAWESOME
8009470007450,SPECIAL CAT (MOUSSE W/ BEEF & LIVER) CAN - ADULT,WET CAT FOOD,PIECES,4,320,80,150,,10/24/2028,
8009470001342,SPECIAL DOG (AGNELLO ETACCHINO) CAN - ADULT,WET DOG FOOD,PIECES,4,320,80,150,,10/16/2028,
8009470080293,SPECIAL DOG (LAMB & RICE) 1.5KG - ADULT ,DRY DOG FOOD,PIECES,2,556,278.00,360,,05/16/2026,TAIL WAGGERS OPC
8009470080316,SPECIAL DOG (LAMB & RICE) 1.5KG - PUPPY,DRY DOG FOOD,PIECES,2,554,277.00,350,,6 May 2026,TAIL WAGGERS OPC
8009470001069,SPECIAL DOG (POLLO e RISO) CAN - PUPPY,WET DOG FOOD,PIECES,2,160,80,150,,10/23/2028,
67851584,STACKABLE CAGE FOR DOG & CAT,SUPPLY AND ACCESSORIES,PIECES,1,419,419,750,,,
65342718,SEDATION 1-5 kg,CLINIC/LAB/MEDS,SERVICING,,300,300,600,,,PAWESOME
81681068,SEDATION 5.1-10 kg,CLINIC/LAB/MEDS,SERVICING,,400,400,800,,,PAWESOME
64739502,SEDATION 10.1-15  kg,CLINIC/LAB/MEDS,SERVICING,,500,500,1000,,,PAWESOME
13898229,SEDATION 15.1-20 kg,CLINIC/LAB/MEDS,SERVICING,,600,600,1200,,,PAWESOME
52752254,SCHIRMER STRIPS,CLINIC/LAB/MEDS,PIECES,100,1259,12.59,250,,,
8906009111087,THROMB BEAT SYRUP 100ML ,CLINIC/LAB/MEDS,PIECES,3,987,329,650,,1 Jan 2028,
21140570,THROW RING TOY,SUPPLY AND ACCESSORIES,PIECES,2,140,70,150,,,
88621654,TICK & FLEA COMB BIG FOR DOG AND CAT,SUPPLY AND ACCESSORIES,PIECES,5,200,40,100,,,
92231092,TOLFENAMIC ACID SYRUP 30ML ,CLINIC/LAB/MEDS,PIECES,5,227.74,,230,,1 Dec 2027,PET717
65875322,TOLFENAMIC ACID SYRUP 30ML (NUVETUS),CLINIC/LAB/MEDS,PIECES,5,1138.7,227.74,,,,NUVETUS
62922494,TOOTHBRUSH,SUPPLY AND ACCESSORIES,PIECES,12,150,12.50,40,,,TML
87680775,TOUCH DOG COLLAR,SUPPLY AND ACCESSORIES,PIECES,6,600,100,270,,,
89362556,TRAMADOL - AGORAM 50MG CAPSULE (I PROTECT),CLINIC/LAB/MEDS,PIECES,200,800,4,,,1 Aug 2027,I PROTECT
28795926,TRAMADOL  INJECTABLE - SMALL,CLINIC/LAB/MEDS,SERVICING,,,55,300,,,I PROTECT
47447332,TRAMADOL INJECTABLE - MEDIUM,CLINIC/LAB/MEDS,SERVICING,,,55,400,,,I PROTECT
28655312,TRAMADOL INJECTABLE - LARGE,CLINIC/LAB/MEDS,SERVICING,,,55,550,,,I PROTECT
34513187,TRAMADOL INJECTABLE - EXTRA LARGE,CLINIC/LAB/MEDS,SERVICING,,,55,600,,,I PROTECT
8903494000377,TRANEXAMIC ACID (TRANESAPH) - INJECTION,CLINIC/LAB/MEDS,SERVICING,15,330,22,250,,,I PROTECT
43527908,UNIVET E-COLLAR 12.5CM,SUPPLY AND ACCESSORIES,PIECES,20,1250,62.50,95,,,JEIA VETERINARY CORPORATION
10619766,UNIVET E-COLLAR 15CM,SUPPLY AND ACCESSORIES,PIECES,20,1500,75.00,105,,,JEIA VETERINARY CORPORATION
49274400,UNIVET E-COLLAR 20CM,SUPPLY AND ACCESSORIES,PIECES,20,2000,100.00,140,,,JEIA VETERINARY CORPORATION
41616444,UNIVET E-COLLAR 25CM,SUPPLY AND ACCESSORIES,PIECES,20,2500,125.00,175,,,JEIA VETERINARY CORPORATION
47976535,UNIVET E-COLLAR 30CM,SUPPLY AND ACCESSORIES,PIECES,20,3000,150.00,200,,,JEIA VETERINARY CORPORATION
72547045,UNIVET T-COLLAR 7.5CM,SUPPLY AND ACCESSORIES,PIECES,20,750,37.50,70,,,JEIA VETERINARY CORPORATION
90185809,URINALYSIS,CLINIC/LAB/MEDS,SERVICING,,150,,350,,,
87992731,VACCINATION CARD,CLINIC/LAB/MEDS,SERVICING,,20,,30,,,PAWESOME 
95694191,VET WRAP SMALL,SUPPLY AND ACCESSORIES,PIECES,,,50.00,100,,,NUVETUS 
9310022807619,WHISKAS CAN - OCEAN FISH (400G),WET CAT FOOD,PIECES,6,637,106.17,150,,23 Aug 2027,PEDIGREE AND WHISKAS
42285786,WHISKAS CAN - SARDINES (400G),WET CAT FOOD,PIECES,6,637,106.17,150,,14 Dec 2026,PEDIGREE AND WHISKAS
11444770,WHISKAS MACAREL FLAVOR 80G POUCH,WET CAT FOOD,PIECES,14,399,28.50,45,,26 Aug 2026,PEDIGREE AND WHISKAS
46232724,WHISKAS TUNA AND WHITE FISH FLAVOR 80G POUCH,WET CAT FOOD,PIECES,14,433,30.93,55,,11 Sep 2027,PEDIGREE AND WHISKAS
32044553,WOUND CLEANING (MAJOR),CLINIC/LAB/MEDS,SERVICING,,250,259,600,,,
19215662,WOUND CLEANING (MINOR),CLINIC/LAB/MEDS,SERVICING,,150,150,300,,,
26714738,KETOKEK SKY EC BEST - KETOCONAZOLE TABLET - PIECE (HAVELI),CLINIC/LAB/MEDS,PIECES,,340,34,50,,NOVEMNER 2026,HAVELI HOUSE MALL
83806346,KETOKEK SKY EC BEST - KETOCONAZOLE TABLET - PIECE,CLINIC/LAB/MEDS,PIECES,20,347,34.7,50,,1 Nov 2026,PET717
92735552,KETOKEK SKY EC BEST - KETOCONAZOLE TABLET - BOX,CLINIC/LAB/MEDS,BOX,2,347,347,455,,1 Nov 2026,PET717
25295122,YUNNAN BAIYAO CAPSULE - PER PIECE / BOX,CLINIC/LAB/MEDS,PIECES,48,945,50,50,,1 Jan 2030,SHOBEH 2000
23854390,YUNNAN BAIYAO CAPSULE - PER PIECE / BOX,CLINIC/LAB/MEDS,PIECES,32,622,19.44,50,,1 Feb 2030,OVERSEA DRUG STORE
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
93977142,LIVOTINE 120ML ,CLINIC/LAB/MEDS,PIECES,3,528,176.00,495,,1 Mar 2028,
95957272,ADMINISTRATION OF INJECTABLE ,CLINIC/LAB/MEDS,SERVICING,,100,,200,,,
83678509,FOLLOW UP CHECK UP,CLINIC/LAB/MEDS,SERVICING,,150,,250,,,
24370981,BIOLINE EYE CARE,SUPPLY AND ACCESSORIES,PIECES,3,196,98.00,250,,21 Oct 2027,
4806522720916,NACALVIT ZC,CLINIC/LAB/MEDS,PIECES,2,364,182.00,350,,,
38338793,IROPLUS,CLINIC/LAB/MEDS,PIECES,2,390,195.00,300,,6 Jan 2027,
4806523302869,CEFALEXIN – EDIXIN 500MG CAP,CLINIC/LAB/MEDS,PIECES,100,230,2.30,25,,,
4800301902531,CEFALEXIN – DIACEF 250MG CAP,CLINIC/LAB/MEDS,PIECES,100,180,1.80,20,,,
4806037105994,CO AMOXICLAV – RANICLAV 625MG TAB,CLINIC/LAB/MEDS,PIECES,140,1050,7.50,40,,,
8906043320780,CO AMOXICLAV – CO AMOXISAPH 250MG SUS.,CLINIC/LAB/MEDS,PIECES,10,850,85.00,400,,,
93016513,PARACETAMOL - INJECTABLE 1 TO 5KG,CLINIC/LAB/MEDS,SERVICING,1,65,65.00,100,,,
72376928,PARACETAMOL - INJECTABLE 6 TO 10KG,CLINIC/LAB/MEDS,SERVICING,,65,65.00,200,,,
28052586,PARACETAMOL - INJECTABLE 11 TO 15KG,CLINIC/LAB/MEDS,SERVICING,,65,65.00,300,,,
34720455,PARACETAMOL - INJECTABLE 15 TO 20KG,CLINIC/LAB/MEDS,SERVICING,,65,65.00,350,,,
97577621,PARACETAMOL - INJECTABLE 20 TO 25KG,CLINIC/LAB/MEDS,SERVICING,,65,65.00,400,,,
17613224,PARACETAMOL - INJECTABLE 25 TO 30KG,CLINIC/LAB/MEDS,SERVICING,,65,65.00,450,,,
45542992,PARACETAMOL - INJECTABLE 30 TO 35KG,CLINIC/LAB/MEDS,SERVICING,,65,65.00,500,,,
65701942,PARACETAMOL - INJECTABLE 35 TO 40KG,CLINIC/LAB/MEDS,SERVICING,,65,65.00,550,,,
8903494201996,TOBRAMYCIN – TOBRASAPH 3MG/ML EYE,CLINIC/LAB/MEDS,PIECES,10,450,45.00,300,,,
72334423,CYSTOCENTESIS - CAT,CLINIC/LAB/MEDS,SERVICING,,150,150.00,500,,,
40814391,CATHETERIZATION - CAT,CLINIC/LAB/MEDS,SERVICING,,1500,"1,500.00",3500,,,
65536612,EPINEPHRINE - PER SHOT,CLINIC/LAB/MEDS,SERVICING,,19,19.00,50,,,
36037230,ATROPINE - PER AMPULE,CLINIC/LAB/MEDS,PIECES,10,300,30.00,150,,,
8850238065522,TASTY TREATS 120G - BEEF FLAVOUR ,DOG TREAT,PIECES,3,186,62.00,180,,5/14/2026,
8850477006867,ME-O CREAMY TREATS 15G,CAT TREAT,PIECES,4,180,45.00,160,,2/13/2027,
8859387702159,CIAO DRIED BONITO FLAVOR,CAT TREAT,PIECES,6,210,35.00,95,,7/14/2026,
8859104007215,BINGO STAR YUMMY STICKS - GRILLED CHICKEN LIVER FLAVOUR,DOG TREAT,PIECES,4,160,40.00,160,,10 Feb 2026,
8859104007222,BINGO STAR YUMMY STICKS - SMOKED BEEF FLAVOUR,DOG TREAT,PIECES,4,160,40.00,160,,10/17/2026,
8850238011833,SLEEKY RAWHIDE DOG CHEWS,DOG TREAT,PIECES,4,236.6,59.15,168,,11 May 2026,
57618906,PRIMERA CARE PET COLOGNE - BUBBLE GUM,SUPPLY AND ACCESSORIES,PIECES,3,522,174.00,280,,9 Jan 2027,PET717
29360635,PRIMERA CARE PET COLOGNE- CUCUMBER MELON,SUPPLY AND ACCESSORIES,PIECES,2,348,174.00,280,,9 Jan 2027,PET717
